YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-09,WEEKDAY,14,TRAIN,EW15,15982,14488
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,EW15,5913,5058
2021-09,WEEKDAY,23,TRAIN,EW12/DT14,9046,2333
2021-09,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,4154,985
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,NS15,3818,3516
2021-09,WEEKDAY,7,TRAIN,NS15,28441,44405
2021-09,WEEKDAY,12,TRAIN,EW30,1244,613
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,EW30,816,169
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,NE11,1819,1234
2021-09,WEEKDAY,12,TRAIN,NE11,3648,2758
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,PE5,1685,539
2021-09,WEEKDAY,8,TRAIN,PE5,7862,2523
2021-09,WEEKDAY,9,TRAIN,CC11,3484,29423
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,CC11,987,3558
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,SE1,21,90
2021-09,WEEKDAY,0,TRAIN,SE1,36,276
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,CC19/DT9,2215,2628
2021-09,WEEKDAY,13,TRAIN,CC19/DT9,4444,4264
2021-09,WEEKDAY,8,TRAIN,DT23,2683,9990
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,DT23,468,806
2021-09,WEEKDAY,14,TRAIN,NS15,16916,10253
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,NS15,3806,2987
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,NS14,3587,9563
2021-09,WEEKDAY,22,TRAIN,NS14,8293,27014
2021-09,WEEKDAY,21,TRAIN,NS10,11526,40079
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,NS10,3716,13421
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,DT3,2507,1516
2021-09,WEEKDAY,12,TRAIN,DT3,4788,2943
2021-09,WEEKDAY,13,TRAIN,DT27,6591,3566
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,DT27,1949,1284
2021-09,WEEKDAY,6,TRAIN,BP13,4469,560
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,BP13,443,120
2021-09,WEEKDAY,23,TRAIN,EW8/CC9,8218,6298
